date,symbol,open,high,low,close,volume
2024-01-02,CSI000,18.0412,18.1253,17.908,17.9918,172913
2024-01-02,CSI001,18.5676,18.6157,18.4769,18.5249,159486
2024-01-02,CSI002,19.0399,19.3161,18.4997,18.772,240798
2024-01-02,CSI003,19.6025,19.9664,19.4203,19.7825,167226
2024-01-02,CSI004,20.1353,20.4438,19.5272,19.831,149411
2024-01-02,CSI005,20.6564,21.2892,20.3651,20.9931,201076
2024-01-02,CSI006,21.2122,22.1599,20.8325,21.7702,128737
2024-01-02,CSI007,21.755,22.3297,20.2427,20.7919,217283
2024-01-02,CSI008,22.3209,22.5046,21.9527,22.1348,350138
2024-01-02,CSI009,22.8317,23.1602,22.2244,22.5488,156976
2024-01-02,CSI010,23.3234,23.5493,23.0024,23.2274,170170
2024-01-02,CSI011,23.8962,24.0783,23.7226,23.9046,179240
2024-01-02,CSI012,24.3399,24.5391,24.0673,24.2658,130901
2024-01-02,CSI013,25.0704,25.2572,24.6935,24.8789,123311
2024-01-02,CSI014,25.527,25.8048,25.0968,25.373,133480
2024-01-02,CSI015,26.0973,26.477,25.3092,25.6828,174607
2024-01-02,CSI016,26.6532,26.9306,26.0127,26.2863,111669
2024-01-02,CSI017,27.1141,27.2713,26.9385,27.0957,121435
2024-01-02,CSI018,27.5817,27.9231,27.3929,27.7333,104976
2024-01-02,CSI019,28.1584,28.7305,27.9166,28.4859,109504
2024-01-02,CSI020,28.715,29.4415,28.3082,29.0302,136553
2024-01-02,CSI021,29.3395,29.7684,29.1055,29.5328,127000
2024-01-02,CSI022,29.781,29.9986,29.4527,29.6695,106183
2024-01-02,CSI023,30.3221,31.0392,28.5629,29.2547,282959
2024-01-02,CSI024,30.9232,31.2267,30.7448,31.0475,134324
2024-01-02,CSI025,31.3591,31.5399,31.2498,31.4304,158551
2024-01-02,CSI026,31.9985,32.5204,30.7131,31.2223,260393
2024-01-02,CSI027,32.5573,32.9583,31.5772,31.9709,219078
2024-01-02,CSI028,33.0204,33.2779,32.5148,32.7704,138399
2024-01-02,CSI029,33.4833,33.9192,33.1723,33.607,215964
2024-01-02,CSI030,34.0807,34.3413,33.5946,33.8534,148850
2024-01-02,CSI031,34.6785,35.2435,33.3628,33.9154,274212
2024-01-02,CSI032,35.0533,35.5402,34.1441,34.6251,258264
2024-01-02,CSI033,35.6526,36.1635,35.41,35.9191,157902
2024-01-02,CSI034,36.2925,36.4825,35.8612,36.0499,128649
2024-01-02,CSI035,36.7102,37.1003,35.9793,36.3657,116909
2024-01-02,CSI036,37.2392,37.518,36.7476,37.0247,140462
2024-01-02,CSI037,37.7904,38.2503,37.1036,37.5607,229261
2024-01-02,CSI038,38.2801,38.6923,37.6306,38.0402,150448
2024-01-02,CSI039,38.9465,39.4906,38.5519,39.0945,167319
2024-01-02,CSI040,39.4779,40.4597,38.9469,39.9227,121423
2024-01-02,CSI041,39.9721,40.5421,38.9126,39.4756,195597
2024-01-02,CSI042,40.5532,40.9217,40.2482,40.6162,183045
2024-01-02,CSI043,40.9455,41.4479,40.7273,41.2282,107952
2024-01-02,CSI044,41.6275,41.8957,41.4157,41.6837,211810
2024-01-02,CSI045,42.116,42.8118,40.5154,41.196,282601
2024-01-02,CSI046,42.812,43.0957,42.5073,42.7909,209746
2024-01-02,CSI047,43.1238,43.4924,42.7388,43.1073,160414
2024-01-03,CSI000,18.0353,18.3145,17.8512,18.1294,191725
2024-01-03,CSI001,18.5012,18.6778,18.3036,18.4801,116789
2024-01-03,CSI002,18.8202,18.9253,18.6164,18.721,173882
2024-01-03,CSI003,19.8213,20.2201,19.5768,19.9737,167208
2024-01-03,CSI004,19.9047,20.082,19.5098,19.6851,130785
2024-01-03,CSI005,20.9476,21.1417,20.7453,20.9394,167047
2024-01-03,CSI006,21.79,22.5214,21.4434,22.1688,108879
2024-01-03,CSI007,20.8328,21.3412,20.618,21.1233,163553
2024-01-03,CSI008,22.1257,22.2313,22.0534,22.1589,264191
2024-01-03,CSI009,22.5801,23.7337,22.0964,23.2359,170220
2024-01-03,CSI010,23.3079,23.5201,23.0006,23.2119,119799
2024-01-03,CSI011,23.9435,24.6621,23.5691,24.2824,250932
2024-01-03,CSI012,24.281,24.6449,24.0603,24.4229,116756
2024-01-03,CSI013,24.8523,25.7152,24.5416,25.3977,137451
2024-01-03,CSI014,25.4901,26.6903,24.9546,26.1411,175267
2024-01-03,CSI015,25.703,25.8221,25.4934,25.612,152949
2024-01-03,CSI016,26.292,28.075,25.6054,27.3605,140023
2024-01-03,CSI017,27.1769,27.4357,26.4844,26.739,142210
2024-01-03,CSI018,27.673,28.3251,27.3499,27.9982,117284
2024-01-03,CSI019,28.4558,29.3909,28.0791,29.0068,120176
2024-01-03,CSI020,29.0431,29.7556,28.6959,29.4041,144528
2024-01-03,CSI021,29.515,29.8697,29.243,29.597,109896
2024-01-03,CSI022,29.7335,29.874,29.4021,29.5417,90188
2024-01-03,CSI023,29.2287,29.3692,29.0476,29.1878,197392
2024-01-03,CSI024,31.0161,32.4134,30.4565,31.839,162380
2024-01-03,CSI025,31.4433,31.9301,30.3389,30.8161,220411
2024-01-03,CSI026,31.1171,32.5689,30.527,31.9628,237760
2024-01-03,CSI027,32.015,33.0696,31.5834,32.6297,221698
2024-01-03,CSI028,32.8338,33.2655,32.5688,32.9992,132017
2024-01-03,CSI029,33.6101,34.1121,33.3925,33.8928,224281
2024-01-03,CSI030,33.9185,34.2769,33.2381,33.5931,169320
2024-01-03,CSI031,34.0093,34.7432,33.5383,34.2687,273737
2024-01-03,CSI032,34.7235,34.944,34.2222,34.4409,255240
2024-01-03,CSI033,35.9138,36.6936,35.5948,36.3705,170329
2024-01-03,CSI034,35.9283,36.6195,35.6739,36.362,125855
2024-01-03,CSI035,36.4261,36.7608,35.9184,36.2515,119267
2024-01-03,CSI036,36.9721,37.3413,36.3085,36.6746,149629
2024-01-03,CSI037,37.6135,38.4527,37.1612,37.9958,284617
2024-01-03,CSI038,38.0562,38.6362,37.804,38.3819,194368
2024-01-03,CSI039,39.0626,39.7549,37.6491,38.3284,260299
2024-01-03,CSI040,39.8358,40.207,39.5415,39.9121,98083
2024-01-03,CSI041,39.4476,40.7092,38.8599,40.1115,208368
2024-01-03,CSI042,40.6632,40.9052,40.2426,40.4836,208601
2024-01-03,CSI043,41.1509,41.4981,40.447,40.7912,132216
2024-01-03,CSI044,41.6973,42.3628,39.9766,40.625,274500
2024-01-03,CSI045,41.3083,41.5183,41.03,41.2397,225325
2024-01-03,CSI046,42.8566,43.7802,42.439,43.3576,260925
2024-01-03,CSI047,43.0754,43.4249,42.4374,42.7846,153876
2024-01-04,CSI000,18.1108,18.5733,16.8987,17.3415,253243
2024-01-04,CSI001,18.4836,18.9119,18.2465,18.6724,149047
2024-01-04,CSI002,18.7262,19.1584,17.7219,18.1406,246223
2024-01-04,CSI003,19.9834,20.5021,19.748,20.2634,163579
2024-01-04,CSI004,19.6947,19.9272,19.1892,19.4184,156275
2024-01-04,CSI005,20.9364,21.4203,20.6783,21.1594,180403
2024-01-04,CSI006,22.0822,22.4248,21.9233,22.2645,83791
2024-01-04,CSI007,21.0887,21.5803,20.8302,21.319,150179
2024-01-04,CSI008,22.1248,22.5016,21.9652,22.3404,311052
2024-01-04,CSI009,23.1932,23.3955,23.0852,23.287,137914
2024-01-04,CSI010,23.2191,23.4408,23.0938,23.315,147935
2024-01-04,CSI011,24.3048,24.5131,23.9505,24.1575,207657
2024-01-04,CSI012,24.4279,24.8282,24.2245,24.6231,118322
2024-01-04,CSI013,25.369,25.8204,25.1913,25.6408,122657
2024-01-04,CSI014,26.136,26.3886,25.8405,26.0927,133805
2024-01-04,CSI015,25.6267,25.6965,25.5492,25.619,141539
2024-01-04,CSI016,27.3723,28.1648,26.9562,27.7431,124524
2024-01-04,CSI017,26.6042,27.4163,26.265,27.0712,124413
2024-01-04,CSI018,28.0404,28.3375,27.4486,27.7424,119190
2024-01-04,CSI019,28.9355,29.1698,28.8077,29.0416,93867
2024-01-04,CSI020,29.4718,29.939,28.5116,28.9709,155860
2024-01-04,CSI021,29.6053,29.9013,29.2093,29.5044,120095
2024-01-04,CSI022,29.54,29.7321,29.1866,29.3777,122195
2024-01-04,CSI023,29.1447,29.4004,28.8159,29.071,206989
2024-01-04,CSI024,31.8775,32.312,31.1078,31.5377,114889
2024-01-04,CSI025,30.671,32.2505,30.0465,31.607,248334
2024-01-04,CSI026,31.9873,32.4712,30.8603,31.3343,224379
2024-01-04,CSI027,32.6755,33.1679,31.7223,32.2076,180552
2024-01-04,CSI028,33.045,33.3579,32.8342,33.1465,136130
2024-01-04,CSI029,33.9712,34.0956,33.6868,33.8106,224323
2024-01-04,CSI030,33.5393,33.9729,32.7229,33.1514,166316
2024-01-04,CSI031,34.1891,34.6197,33.8804,34.3099,252721
